pocket_rank,pocket_score,pocket_id,hydrophobic_rank,hydrophobic_x,hydrophobic_y,hydrophobic_z,hydrophobic_mean_WFP,hydrophobic_best_DG,hydrophobic_mean_R90_A,hydrophobic_spread_A,pocket_radius_A,pocket_n_sites,n_donors,n_acceptors,has_donor,has_acceptor,has_both,donors_best_DG,donors_mean_WFP,donors_mean_R90_A,acceptors_best_DG,acceptors_mean_WFP,acceptors_mean_R90_A,traj_sasa_A2,local_sasa_A2,buriedness
1,0.8144,1,1,-0.406,10.346,10.781,752.85,-4.311,1.102,1.092,1.11,2,1,0,True,False,False,-4.279,1309.771,1.053,,,,1.767,4.299,0.7
2,0.7392,27,27,0.581,5.638,12.565,204.292,-3.171,0.835,0.0,4.692,2,1,0,True,False,False,-4.279,1309.771,1.079,,,,1.097,2.507,0.8
3,0.6762,4,4,-1.635,-16.506,0.913,170.283,-3.693,1.032,1.434,5.492,4,3,0,True,False,False,-3.679,250.575,1.051,,,,3.905,6.481,0.63
4,0.6678,3,3,13.407,-7.594,-1.501,238.208,-3.742,1.044,1.868,4.593,4,3,0,True,False,False,-3.484,217.558,0.957,,,,3.987,9.698,0.45
5,0.6524,2,2,7.678,2.049,-14.357,477.212,-3.812,1.274,0.322,3.764,3,2,0,True,False,False,-4.102,676.995,1.248,,,,4.135,6.218,0.59
6,0.6326,58,58,3.734,-14.638,0.031,112.317,-2.815,0.92,0.0,3.613,2,1,0,True,False,False,-3.824,610.224,1.111,,,,0.852,2.505,0.78
7,0.6293,7,7,-2.856,17.451,-0.496,230.468,-3.476,1.081,0.899,5.586,4,3,0,True,False,False,-3.282,155.946,0.772,,,,3.617,5.2,0.83
8,0.6213,5,5,4.281,-17.992,-11.111,189.964,-3.642,1.158,1.183,4.682,3,2,0,True,False,False,-3.451,207.387,0.923,,,,4.463,5.046,0.75
9,0.6212,13,13,13.72,-2.947,-2.274,161.844,-3.29,0.941,1.203,5.155,3,2,0,True,False,False,-3.47,261.335,1.069,,,,3.093,6.007,0.74
10,0.6169,22,22,0.99,5.752,19.03,109.827,-3.094,0.936,1.791,5.539,4,3,0,True,False,False,-3.228,181.299,0.861,,,,3.38,3.32,1.0
11,0.6087,16,16,9.753,12.275,-6.325,258.975,-3.432,1.345,0.183,2.656,2,1,0,True,False,False,-3.416,307.765,0.814,,,,2.605,8.919,0.52
12,0.5956,6,6,-8.773,6.748,12.214,172.972,-3.56,1.295,0.361,4.265,3,2,0,True,False,False,-3.525,231.266,0.98,,,,4.007,6.998,0.7
13,0.5878,18,18,-11.1,1.905,-8.947,151.608,-3.323,1.174,0.97,1.492,2,1,0,True,False,False,-3.246,231.708,1.003,,,,1.761,3.24,0.92
14,0.5675,61,61,4.255,-15.277,-2.649,102.588,-2.761,0.991,0.0,4.367,2,1,0,True,False,False,-3.66,463.417,1.339,,,,1.276,3.328,0.84
15,0.5561,9,9,-7.135,12.465,7.245,148.976,-3.369,0.881,1.314,1.58,2,1,0,True,False,False,-3.169,203.408,0.969,,,,3.212,5.253,0.56
16,0.5536,20,20,-12.979,-3.952,-7.288,151.885,-3.354,1.278,0.626,5.177,3,2,0,True,False,False,-3.244,165.38,0.911,,,,4.479,9.823,0.49
17,0.5436,11,11,9.357,13.162,11.213,284.058,-3.525,1.442,0.304,3.951,4,3,0,True,False,False,-2.902,102.883,0.789,,,,3.266,6.104,0.5
18,0.5341,24,24,-3.375,-7.099,-10.249,110.896,-3.079,0.958,2.124,1.879,3,2,0,True,False,False,-2.89,121.16,0.736,,,,4.019,6.041,0.67
19,0.5333,36,36,-1.173,3.364,19.486,113.285,-2.96,0.839,0.347,5.81,4,3,0,True,False,False,-3.045,146.218,0.814,,,,3.446,4.472,0.94
20,0.5329,10,10,9.895,-1.675,20.941,169.655,-3.463,1.194,0.819,3.011,2,1,0,True,False,False,-3.199,214.021,0.817,,,,5.096,7.831,0.67
21,0.5204,30,30,-4.512,-1.025,17.128,108.013,-2.885,0.73,0.46,4.689,3,2,0,True,False,False,-3.023,143.27,0.754,,,,3.557,6.751,0.82
22,0.5162,37,37,2.301,7.815,25.647,105.352,-2.842,0.809,0.349,5.826,5,4,0,True,False,False,-3.045,129.562,0.808,,,,3.74,7.75,0.47
23,0.516,50,50,-9.725,14.903,-12.941,109.504,-3.002,1.128,0.47,2.335,2,1,0,True,False,False,-2.696,91.976,0.596,,,,2.225,8.297,0.43
24,0.5093,8,8,2.958,7.144,-13.962,248.553,-3.416,0.984,0.178,1.026,2,1,0,True,False,False,-3.214,219.327,1.065,,,,3.042,5.749,0.59
25,0.5085,21,21,-5.609,15.298,7.727,131.242,-2.989,0.656,1.096,3.767,2,1,0,True,False,False,-3.029,160.958,0.899,,,,4.007,6.219,0.43
26,0.5068,45,45,13.404,-10.174,-10.488,103.574,-2.974,1.135,0.772,5.552,3,2,0,True,False,False,-2.838,115.412,0.737,,,,4.147,8.349,0.29
27,0.505,26,26,-5.492,-5.062,14.929,138.75,-3.209,1.194,1.324,5.657,5,4,0,True,False,False,-3.214,144.596,0.892,,,,6.738,11.572,0.32
28,0.5024,14,14,8.359,-8.161,-16.033,135.097,-3.123,0.683,1.089,2.186,2,1,0,True,False,False,-3.055,168.033,0.937,,,,3.893,5.784,0.59
29,0.4863,12,12,3.355,16.417,8.082,179.585,-3.398,1.105,0.354,1.985,3,2,0,True,False,False,-3.214,175.992,0.97,,,,4.84,7.231,0.84
30,0.4807,28,28,-7.069,-6.123,8.161,102.048,-2.926,0.683,0.219,4.393,3,2,0,True,False,False,-3.214,174.224,0.972,,,,4.504,8.876,0.41
31,0.4803,31,31,2.867,12.747,16.448,145.736,-3.103,1.075,0.942,5.763,3,2,0,True,False,False,-3.228,185.721,0.855,,,,7.1,13.778,0.72
32,0.4757,17,17,-6.859,-17.091,-9.604,133.586,-3.286,0.978,0.452,3.39,2,1,0,True,False,False,-3.023,159.189,1.105,,,,3.947,5.849,0.87
33,0.4683,64,64,11.404,-5.597,7.989,99.495,-2.941,1.722,0.245,1.898,2,1,0,True,False,False,-2.971,145.923,0.859,,,,3.332,6.5,0.53
34,0.4633,23,23,1.167,-5.216,29.66,124.01,-3.166,0.898,0.183,4.641,3,2,0,True,False,False,-3.455,224.191,0.944,,,,7.165,12.423,0.26
35,0.4563,49,49,-16.426,6.235,4.421,100.672,-2.781,0.746,0.244,4.989,2,1,0,True,False,False,-3.023,159.189,1.087,,,,3.675,7.432,0.56
36,0.4496,53,53,-3.798,-13.596,-6.719,97.724,-2.734,0.721,0.834,3.016,2,1,0,True,False,False,-2.842,117.623,0.731,,,,4.549,9.933,0.66
37,0.4462,29,29,-4.123,1.002,-18.91,99.19,-2.855,0.769,0.379,4.074,2,1,0,True,False,False,-2.864,122.045,0.864,,,,4.31,8.297,0.37
38,0.442,32,32,-18.489,13.32,-8.03,125.641,-3.07,0.99,0.449,2.264,2,1,0,True,False,False,-2.864,122.045,0.959,,,,3.956,7.087,0.38
